Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,3.899000,3.959000,3.878000,3.945000,3.945000,0
2023-01-04,3.833000,3.889000,3.819000,3.875000,3.875000,0
2023-01-05,3.898000,3.976000,3.889000,3.910000,3.910000,0
2023-01-06,3.952000,3.959000,3.707000,3.712000,3.712000,0
2023-01-09,3.715000,3.720000,3.636000,3.651000,3.651000,0
2023-01-10,3.717000,3.758000,3.684000,3.734000,3.734000,0
2023-01-11,3.689000,3.712000,3.665000,3.670000,3.670000,0
2023-01-12,3.627000,3.729000,3.524000,3.546000,3.546000,0
2023-01-13,3.571000,3.616000,3.528000,3.614000,3.614000,0
2023-01-16,null,null,null,null,null,null
2023-01-17,3.664000,3.668000,3.576000,3.607000,3.607000,0
2023-01-18,3.548000,3.550000,3.432000,3.433000,3.433000,0
2023-01-19,3.459000,3.507000,3.435000,3.485000,3.485000,0
2023-01-20,3.539000,3.593000,3.532000,3.567000,3.567000,0
2023-01-23,3.582000,3.632000,3.577000,3.625000,3.625000,0
2023-01-24,3.616000,3.660000,3.568000,3.584000,3.584000,0
2023-01-25,3.556000,3.589000,3.521000,3.561000,3.561000,0
2023-01-26,3.576000,3.612000,3.552000,3.588000,3.588000,0
2023-01-27,3.638000,3.652000,3.614000,3.621000,3.621000,0
2023-01-30,3.666000,3.690000,3.655000,3.683000,3.683000,0
2023-01-31,3.655000,3.664000,3.602000,3.638000,3.638000,0
2023-02-01,3.586000,3.645000,3.488000,3.495000,3.495000,0
2023-02-02,3.454000,3.497000,3.413000,3.483000,3.483000,0
2023-02-03,3.484000,3.676000,3.478000,3.666000,3.666000,0
2023-02-06,3.762000,3.827000,3.762000,3.814000,3.814000,0
2023-02-07,3.806000,3.846000,3.743000,3.844000,3.844000,0
2023-02-08,3.820000,3.846000,3.790000,3.818000,3.818000,0
2023-02-09,3.780000,3.885000,3.767000,3.882000,3.882000,0
2023-02-10,3.879000,3.926000,3.870000,3.924000,3.924000,0
2023-02-13,3.949000,3.955000,3.910000,3.926000,3.926000,0
2023-02-14,3.886000,4.038000,3.815000,4.003000,4.003000,0
2023-02-15,4.019000,4.069000,3.989000,4.040000,4.040000,0
2023-02-16,4.019000,4.091000,4.005000,4.048000,4.048000,0
2023-02-17,4.102000,4.113000,4.033000,4.036000,4.036000,0
2023-02-20,null,null,null,null,null,null
2023-02-21,4.103000,4.185000,4.094000,4.175000,4.175000,0
